Country Name,Code,GDP_USD,GDP_per_capita_USD
Aruba,ABW,3092178771,29348.41897
Africa Eastern and Southern,AFE,1.02065E+12,1629.404273
Afghanistan,AFG,18753469630,516.6798622
Africa Western and Central,AFW,6.83749E+11,1613.490478
Angola,AGO,68972763787,2313.220584
Albania,ALB,13019689337,4531.019374
Andorra,AND,3000162081,38964.66201
Arab World,ARB,2.5841E+12,6272.949782
United Arab Emirates,ARE,3.85606E+11,40644.79119
Argentina,ARG,6.43629E+11,14613.04182
Armenia,ARM,11527458566,3914.527854
American Samoa,ASM,612000000,11003.82976
Antigua and Barbuda,ATG,1467977778,15383.5764
Australia,AUS,1.32688E+12,53934.25018
Austria,AUT,4.17261E+11,47429.15846
Azerbaijan,AZE,40865558912,4147.089716
Burundi,BDI,2712324087,250.5146007
Belgium,BEL,5.02765E+11,44198.48239
Benin,BEN,12701654743,1136.593872
Burkina Faso,BFA,14106956830,734.996268
Bangladesh,BGD,2.93755E+11,1839.583378
Bulgaria,BGR,59199447421,8366.293221
Bahrain,BHR,35473776596,23742.93734
"Bahamas, The",BHS,12357600000,32371.00818
Bosnia and Herzegovina,BIH,18079076427,5394.26914
Belarus,BLR,54726595249,5785.670673
Belize,BLZ,1844906693,4909.604664
Bermuda,BMU,7142316000,111820.5815
Bolivia,BOL,37508642171,3351.124344
Brazil,BRA,2.06351E+12,9928.675897
Barbados,BRB,4981588900,17404.20747
Brunei Darussalam,BRN,12128104859,28571.60829
Bhutan,BTN,2450364928,3286.596744
Botswana,BWA,16088437675,7296.092142
Central African Republic,CAF,2072349974,450.900697
Canada,CAN,1.64927E+12,45129.4293
Central Europe and the Baltics,CEB,1.46453E+12,14254.7381
Switzerland,CHE,7.04479E+11,83352.08865
Channel Islands,CHI,,
Chile,CHL,2.76365E+11,14962.55685
China,CHN,1.23104E+13,8816.986905
Cote d'Ivoire,CIV,51588158718,2111.026557
Cameroon,CMR,36098550142,1469.4475
"Congo, Dem. Rep.",COD,38019265626,467.0742317
"Congo, Rep.",COG,11094823677,2170.900563
Colombia,COL,3.11884E+11,6376.706716
Comoros,COM,1077439663,1323.814843
Cabo Verde,CPV,1769787215,3292.633503
Costa Rica,CRI,60516043590,12225.57449
Caribbean small states,CSS,72533236071,9915.744684
